FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
A0A,64.5,4,6,43.5,67,45,24,31,22,47.2195,-53.1448
A0B,65.5,1.5,7,81,41,46,41,27,47,47.327,-53.6609
A0C,49,1,2,98,99,46,47,62,48,48.3843,-53.9081
A0G,51.5,5,9.5,60.5,40.5,35.5,25,19,29,48.8657,-54.7296
A0K,60,3,7,0,1,93,77,1,78,52.7359,-57.9825
A1A,43,4,9.5,58,2,40,10.5,3,2,47.5986,-52.6926
A1C,40.5,2.2,6.5,50,25.8,49.8,39.2,27.2,23,47.5124,-52.6729
A1E,73,5,9,71,80,96,5,9,3,47.5334,-52.7595
A1G,62,4,10,0,72,48,0,0,1,47.506,-52.7603
A1K,54,1,7,2,31,75,10,1,23,47.6666,-52.7313
A1L,43.5,6,10,58.5,70.5,37.5,10.5,4,11,47.5291,-52.8814
A1N,38,3,8.5,52,17,84,40,13.5,16,47.5194,-52.8122
A1S,26,8,4,10,50,99,43,32,37,47.4212,-52.8077
A1V,60,3,7,0,87,0,75,30,0,48.9682,-54.5906
A1W,44,4.5,7,2,36.5,0.5,7.5,1.5,1.5,47.5096,-52.9447
A1X,66,3,7,70,65,64,50,0,0,47.4999,-52.9981
A2A,40.5,4,6.5,20,70.5,22,20.5,20.5,20.5,48.9332,-55.6649
A2H,21,1,7,22,0,100,47,0,23,48.9156,-57.797
A8A,33.5,3.5,5,39.5,42,47.5,45.5,43,40,49.1667,-57.4316
B0J,75,2,5,49,2,31,48,27,1,44.9419,-62.6471
B0K,33,5,8,100,52,39,31,37,22,45.6138,-62.9506
B0N,60.5,2.5,7.5,82,66,61,58.5,25.5,20,45.0963,-63.4701
B0P,56,2.7,7,23,51,30.7,22.3,1.3,13,45.0328,-64.6566
B0S,59.5,2.8,6.2,26.8,55.5,63.5,23,18.8,30.8,44.6861,-65.3002
B1A,21.5,1.5,7.5,52.5,51.5,38.5,62.5,47.5,69,46.197,-59.957
B1K,52,2,6,6,83,7,10,12,8,45.9668,-60.2318
B1P,62,2.5,5.5,74.5,13,63.5,42.5,2,8,46.1341,-60.1749
B1Y,53.5,4,7,23.5,59.5,21.5,7,7.5,30.5,46.2538,-60.3566
B2A,21,1,8,51,4,87,57,8,2,46.1169,-60.3769
B2C,60,5,9,51,1,76,61,19,0,45.9948,-60.8421
B2H,49,4,7,45,46,45.5,51,36.5,21,45.5834,-62.6486
B2R,66,2,5,0,100,0,0,0,0,44.7599,-63.5525
B2T,59,4.5,9,31.5,50,73,69.5,6,29.5,44.8749,-63.4689
B2V,32,3,7,29,34,33,82,16,35,44.6529,-63.4777
B2W,54.5,4.5,8.5,42.5,7.5,39,26.5,7,0,44.6752,-63.5077
B2X,40,7,7,65,10,50,1,1,1,44.702,-63.533
